Year,Month,Day,Julian,TAI-UTC,GPS Seconds since Epoch
1961,1,1,2437300.5,1.4228180,0
1961,8,1,2437512.5,1.3728180,0
1962,1,1,2437665.5,1.8458580,0
1963,11,1,2438334.5,1.9458580,0
1964,1,1,2438395.5,3.2401300,0
1964,4,1,2438486.5,3.3401300,0
1964,9,1,2438639.5,3.4401300,0
1965,1,1,2438761.5,3.5401300,0
1965,3,1,2438820.5,3.6401300,0
1965,7,1,2438942.5,3.7401300,0
1965,9,1,2439004.5,3.8401300,0
1966,1,1,2439126.5,4.3131700,0
1968,2,1,2439887.5,4.2131700,0
1972,1,1,2441317.5,10.0,0
1972,7,1,2441499.5,11.0,0
1973,1,1,2441683.5,12.0,0
1974,1,1,2442048.5,13.0,0
1975,1,1,2442413.5,14.0,0
1976,1,1,2442778.5,15.0,0
1977,1,1,2443144.5,16.0,0
1978,1,1,2443509.5,17.0,0
1979,1,1,2443874.5,18.0,0
1980,1,1,2444239.5,19.0,1
1981,7,1,2444786.5,20.0,1
1982,7,1,2445151.5,21.0,1
1983,7,1,2445516.5,22.0,1
1985,7,1,2446247.5,23.0,1
1988,1,1,2447161.5,24.0,1
1990,1,1,2447892.5,25.0,1
1991,1,1,2448257.5,26.0,1
1992,7,1,2448804.5,27.0,1
1993,7,1,2449169.5,28.0,1
1994,7,1,2449534.5,29.0,1
1996,1,1,2450083.5,30.0,1
1997,7,1,2450630.5,31.0,1
1999,1,1,2451179.5,32.0,599097583.0
2006,1,1,2453736.5,33.0,820022383.0
2009,1,1,2454832.5,34.0,914716783.0
2012,7,1,2456109.5,35.0,1025049583.0
2015,7,1,2457204.5,36.0,1119657583.0
